,3M Company,Alcoa Incorporated,American Express Company,AT&T Incorporated,Bank of America Corporation,Boeing Corporation,Caterpillar Incorporated,Chevron Corporation,"Cisco Systems, Inc",Coca-Cola Company,DuPont,Exxon Mobil Corporation,General Electric Company,Home Depot Incorporated,Microsoft Corporation,Intel Corporation,International Business Machines,J.P. Morgan Chase & Company,Johnson & Johnson,McDonald’s Corporation,Merck & Company,Pfizer Incorporated,Procter & Gamble Company,"The Travelers Companies, Inc",United Technologies,Verizon Company,Wal-Mart Stores Incorporated,Walt Disney Company
2011-03-07,92.400002,39.048752,43.709999,27.9,14.03,70.879997,102.129997,103.010002,18.200001,32.610001,53.031033,84.720001,156.769226,36.869999,25.719999,21.209999,159.929993,45.189999,60.400002,76.290001,31.326336,18.605312,61.709999,58.959999,51.780994,36.009998,52.02,43.02
2011-03-08,93.75,39.625469,45.240002,28.450001,14.69,72.040001,104.129997,103.769997,18.219999,32.82,54.51123,84.599998,158.692307,37.040001,25.91,21.129999,162.279999,46.400002,60.709999,75.540001,31.469465,18.671726,62.049999,59.060001,52.397736,36.48,52.439999,43.200001
2011-03-09,93.169998,39.1689,45.049999,28.790001,14.59,72.089996,102.360001,102.139999,18.120001,32.810001,53.956158,84.379997,158.692307,37.669998,25.889999,21.200001,165.860001,46.560001,60.400002,75.779999,31.765266,18.652752,62,59.400002,52.164883,36.650002,52.669998,43.119999
2011-03-10,90.010002,37.9674,44.02,28.610001,14.26,71.290001,98.389999,99.080002,17.92,32.645,52.404793,81.379997,154.615387,37.07,25.41,20.790001,162.020004,45.529999,59.610001,76.68,31.393129,18.36812,61.490002,58.52,50.92511,36.400002,52.650002,42.470001
2011-03-11,91.610001,38.520088,44.279999,28.459999,14.38,71.639999,100.019997,99.93,17.950001,32.404999,52.362095,82.120003,156.615387,37.139999,25.68,20.870001,162.429993,45.740002,59.689999,76.730003,31.230915,18.472486,61.490002,58.880001,51.151669,35.849998,52.59,42.93
2011-03-14,91.019997,38.736359,43.91,28.190001,14.23,70.739998,102.099998,100.800003,17.85,31.969999,52.105907,82.379997,153.230774,36.68,25.690001,20.84,161.389999,45.299999,59.130001,75.669998,30.896948,18.795067,61.349998,58.860001,50.811832,35.18,52.32,42.240002
2011-03-15,89.5,38.544121,43.639999,27.809999,13.96,69.690002,100.75,101.230003,17.389999,31.514999,51.180779,81.389999,150.846161,36.290001,25.389999,20.18,159.020004,44.610001,58.48,75.120003,30.400763,18.747627,60.66,58.52,50.037762,34.869999,52.060001,41.619999
2011-03-16,87.550003,37.630981,42.360001,27.33,13.69,67.690002,100.400002,99.510002,17.049999,30.799999,50.042164,79.309998,145.769226,35.68,24.790001,19.809999,153,43.810001,57.66,73.379997,29.656488,18.311195,59.73,58.049999,49.295155,34.299999,51.380001,40.599998
2011-03-17,88.690002,38.472031,43.419998,27.74,13.98,68.300003,103.120003,102.239998,17,31.139999,50.824963,81.160004,147.846161,35.759998,24.780001,19.9,154.179993,44.560001,58.130001,73.400002,30,18.861481,60.43,58.68,50.025173,35.330002,51.369999,40.759998
2011-03-18,88.980003,38.71233,44.169998,27.940001,14.04,69.099998,105.059998,102.800003,17.139999,31.35,51.02422,80.849998,148.07692,36,24.799999,19.93,155.889999,45.740002,58.57,72.989998,30.448473,19.146111,60.599998,58.060001,50.446823,35.84,51.52,41.23
2011-03-21,90.949997,39.76965,44.32,28.26,14.05,71.199997,107.589996,105.190002,17.389999,31.785,52.618282,82.839996,151.692307,36.43,25.33,20.190001,157.679993,45.630001,58.830002,73.760002,30.906488,18.956356,61.299999,58.950001,51.264946,36.459999,51.919998,41.82
2011-03-22,90.699997,39.52935,44.75,28.1,13.88,71.849998,106.790001,105.230003,17.450001,31.754999,52.276699,82.559998,149.92308,36.290001,25.299999,20.15,158,45.470001,58.790001,73.870003,31.040075,18.918406,60.93,58.279999,50.899937,36.950001,52,41.439999
