,HINDALCO,HEROHONDA,M&M,MARUTI,TATAMOTORS,AXISBANK,HDFCBANK,ICICIBANK,PNB,SBIN,ACC,AMBUJACEM,GRASIM,ITC,HCLTECH,INFOSYSTCH,TCS,WIPRO,DLF,UNITECH,HINDUNILVR,JPASSOCIAT,ABB,BHEL,SIEMENS,SUZLON,LT,RELCAPITAL,HDFC,IDFC,GAIL,STER,ONGC,CIPLA,SUNPHARMA,NTPC,POWERGRID,RELINFRA,RPOWER,TATAPOWER,BPCL,RELIANCE,JINDALSTEL,SAIL,TATASTEEL,BHARTIARTL,IDEA,RCOM
2011-02-07,232.25,1583.199951,334.600006,1189.75,226.836945,245.710007,203.884995,177.954544,204.369995,266.345001,989.25,119.550003,356.54837,104.73333,119.425003,385.931244,565.575012,160.08754,242.800003,44.25,274.350006,85.650002,664.799988,292.486664,844.299988,49.599998,684.111084,432.269714,590.650024,66.314224,125.198502,52.700001,199.09166,314.549988,205.050003,149.666672,73.350021,680.650024,127.949997,115.242348,99.150002,460.163116,643.450012,160.399994,610.132568,306.533844,41.544563,115.599998
2011-02-08,233.850006,1506.949951,313.850006,1176.800049,220.089325,238.139999,200.285004,173.009094,200.970001,263.820007,970.5,118.949997,357.237732,104.066666,116.362503,387.075012,562.549988,159.656296,239.300003,41.099998,273.350006,81,644.150024,291.440002,849.700012,48.849998,669.733337,420.628143,589.150024,63.921448,124.185997,46.849998,188.03334,316.799988,198.475006,145.125,71.775017,659.150024,124.150002,116.767075,99.900002,453.327911,631.900024,158.25,590.410889,306.028839,41.24308,110.449997
2011-02-09,219.350006,1440.550049,327.600006,1154,212.44136,232.130005,202.229996,174.009094,198.880005,258.100006,938.900024,119.099998,348.895477,102.599998,115.675003,391.337494,549.150024,159.037537,241.649994,37.700001,276.399994,72.099998,616.950012,278.079987,847.599976,44.75,658.599976,360.757233,608.299988,60.210194,125.521935,45.5,182.866669,311.600006,205,142.791672,71.925018,531.700012,112.199997,117.317139,97.491669,452.857361,614.549988,153.050003,570.832153,304.972931,39.946697,94.650002
2011-02-10,215.75,1449.300049,326.299988,1160,218.160019,233.110001,201.585007,174.518188,196.789993,249.410004,954.200012,117.550003,341.211609,104.099998,117.4375,381.649994,545.375,156.731293,245.899994,36,272.649994,76.25,646.950012,272.366669,847.299988,45.650002,662.977783,368.241119,595.849976,61.479832,127.13913,47.950001,182.399994,310.700012,208.574997,142,71.550018,585.299988,112.150002,117.283363,97.591667,445.601135,613.900024,160.649994,572.166016,296.204346,39.012096,96.599998
2011-02-11,210.949997,1469.5,332.600006,1181.349976,226.1147,244.339996,205.929993,181.918182,206.789993,259.26001,975.299988,116.449997,345.014832,103.400002,117.375,380.106262,544.799988,157.593796,247.649994,34.849998,269.149994,81.900002,642.950012,271.459991,844.150024,45.75,691.599976,375.199799,623.150024,66.070068,125.395378,50.599998,184.699997,311.149994,209.125,147.375,72.300018,617.150024,114.900002,115.763458,97.158333,450.702789,616.450012,160.25,567.164124,292.807068,38.378979,97.150002
2011-02-14,219.300003,1527.099976,340.049988,1224.099976,239.283447,254.009995,210.544998,188.045456,212.080002,269.820007,998.400024,118.650002,359.143219,105,120.5625,388.068756,556.150024,159.15004,246.550003,36.25,273.149994,87.550003,663.650024,283.700012,842.599976,48.75,737.844421,386.447479,642.799988,68.194267,128.250061,52.950001,186.300003,313,212.899994,148.416672,73.912521,627.150024,117.650002,119.792404,100.60833,453.105011,646,162.25,590.934875,300.565674,38.167938,97.300003
2011-02-15,212.399994,1517,334.024994,1236.699951,244.843811,254.960007,210.699997,191.672729,218.990005,273.679993,1003,119.199997,357.632782,104.73333,120.75,388.318756,548.849976,159.543793,239.699997,34.950001,273.149994,84.650002,662.549988,276.079987,838.150024,47.950001,722.111084,421.72229,646.599976,69.439491,128.686005,52.799999,188.366669,309.850006,211.925003,150.75,74.062515,634.849976,121.300003,122.426903,100.650002,466.428711,650.75,162.449997,587.457397,302.218414,37.384079,101.550003
2011-02-16,211.649994,1492.800049,327.899994,1227.949951,245.061462,259.359985,209.485001,191.018188,220.559998,275.105011,999.650024,122,358.934082,104.599998,118.4375,387.875,548.25,163.93129,238.399994,38.200001,275.899994,90.300003,661.25,273.073334,839.599976,48.349998,735.333313,416.995636,626.900024,67.779198,128.967255,52.700001,186.433334,305.799988,208.649994,151.333328,73.95002,631.650024,121.75,123.961281,100.583336,467.642212,669.700012,162.949997,611.085266,301.529785,38.107643,99.599998
2011-02-17,211.399994,1498.099976,334.774994,1228.050049,247.069931,263.5,218.559998,192.181824,221.479996,278.054993,997.200012,125.800003,361.381775,105.633331,116.862503,389.168762,554.599976,162.018784,237.699997,36.75,273.950012,90.25,665.349976,277.606659,843,50.450001,753.533325,418.790009,650.049988,71.124207,127.39225,52.950001,185.233337,305.200012,212.225006,150.708328,73.95002,641.450012,120.699997,124.207359,102.566666,472.496216,669.099976,165.949997,624.137756,312.042908,39.283432,99.949997
2011-02-18,209.600006,1464.900024,324.799988,1228.699951,238.5513,259.359985,217.610001,186.581818,219.009995,276.105011,984.150024,124.25,355.200592,103.833336,114.400002,387.537506,544.849976,162.262543,232.850006,34.150002,279.399994,85.150002,664.450012,279.480011,845.099976,47.700001,728.511108,389.37973,643.849976,69.903397,124.55162,51.799999,178.933334,307.25,213.050003,149.208328,73.57502,604,113.75,122.055367,98.625,463.382599,679.200012,160.199997,608.179443,304.238403,38.288532,93.150002
